rank,rule_id,backstop_pct,trailing_pct,min_profit,avg_pnl_pct,worst_pnl_pct,best_pnl_pct
1,43,-0.200,-0.030,0.030,0.02,0.00,0.25
2,73,-0.250,-0.070,0.030,0.02,0.00,0.25
3,35,-0.150,-0.070,0.080,0.02,0.00,0.25
4,37,-0.150,-0.100,0.020,0.02,0.00,0.25
5,52,-0.200,-0.070,0.020,0.02,0.00,0.25
6,68,-0.250,-0.050,0.030,0.02,0.00,0.25
7,42,-0.200,-0.030,0.020,0.02,0.00,0.25
8,46,-0.200,-0.050,0.000,0.02,0.00,0.25
9,100,-0.300,-0.100,0.080,0.02,0.00,0.25
10,51,-0.200,-0.070,0.000,0.02,0.00,0.25
11,45,-0.200,-0.030,0.080,0.02,0.00,0.25
12,97,-0.300,-0.100,0.020,0.02,0.00,0.25
13,91,-0.300,-0.070,0.000,0.02,0.00,0.25
14,64,-0.250,-0.030,0.050,0.02,0.00,0.25
15,96,-0.300,-0.100,0.000,0.02,0.00,0.25
16,99,-0.300,-0.100,0.050,0.02,0.00,0.25
17,85,-0.300,-0.030,0.080,0.02,0.00,0.25
18,66,-0.250,-0.050,0.000,0.02,0.00,0.25
19,54,-0.200,-0.070,0.050,0.02,0.00,0.25
20,63,-0.250,-0.030,0.030,0.02,0.00,0.25
35,31,-0.150 (현재),-0.070,0.000,0.02,0.00,0.25
